id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
53729,135708,The Lord of the Rings: The Return of the King,NULL,2003-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77649,9256,The Lord of the Rings: War of the Ring,NULL,2003-11-08 00:00:00.000,9,NULL,91.0000,1,62.3763,37
13209,107158,The Maze,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8259,121824,The Need for Speed Collection,NULL,2003-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133069,188624,The Recruit,NULL,2003-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93350,163160,The Saddle Club: Willowbrook Stables,"The most exciting Saddle Club adventure yet might also be the most difficult and this time you won't have the rest of the Saddle Club to help you. A friend of the Regnerys' has invited Stevie, Lisa, and Carole for a holiday at Willowbrook Stables on Coventry Island. But only one girl and her horse can go, so you'll have to choose which member of the Saddle Club you want to be. And once on the island you'll have to solve a baffling mystery to save Willowbrook Stables from the evil property developer trying to take over.

The island is a complex and colourful world of sights and sounds. It is home to over 30 characters, most of whom have lived there all their lives. Even though the other Saddle Club members won't be with you, you can still keep in touch and tell them all about Willowbrook Stables and your adventures.

Other horse-crazy kids on the island will help you in your quest to save the stables. The skills that Lisa, Carole, and Stevie learned at Pine Hollow will come in handy in your investigations, as horses are just as important on Coventry Island as they are in Willow Creek. Ride all over in search of golden horseshoe clues and collect important information from interesting characters. You can get additional clues and track your progress in your personal game diary.",2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164289,2844,The Simpsons: Hit & Run,NULL,2003-09-16 00:00:00.000,53,NULL,72.8000,6,75.6911,186
172917,210728,The Sims Bustin' Out,NULL,2003-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
140092,4151,The Sims Bustin' Out,NULL,2003-12-15 00:00:00.000,3,NULL,75.0000,6,66.5228,31
165996,45112,The Sims: Double Deluxe,"Management in The Sims revolves around decision-making. From physical environmental layouts, to mental outlook, emotional makeup and skills of your Sims, you'll be immersed in their daily lives. Activities include buying and placing unique items for households and offices, selling and replacing worn out furnishings, and otherwise building and maintaining the world in which your Sims live.

You'll guide your Sims in life-development phases and chemistry between your Sims is a product of your manipulations as well - all form the level and style of interaction through conversations with other Sims.

The Sims has a range of ten career tracks for your breadwinners to follow and each career advancement requires specific skills for success. There are ten levels of positions within each of the ten career tracks - your Sims can work their way up in career fields.

Your Sims can experience floods, fires, and robberies. Neglect, starvation, loss of energy, failure to perform basic bathroom visits - all can affect your Sims and even stop them in their tracks. Death is an option and entire families could be wiped out by complete neglect and starvation.",2003-09-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39287,72250,The Spirit Engine,NULL,2003-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64773,54292,The Spirit Engine 2,NULL,2003-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185672,5631,The Temple of Elemental Evil,"Thirteen years before the start of the game, Hommlet was a peaceful town. Due to low taxes and safe roads, the area became prosperous, and the village flourished. This prosperity drew the attention of evil forces, who began slowly trickling into the area. It is not known where these forces came from, but the Dyvers of Nyr Dyv and the inhabitants of the forestlands of the Wild Coast were the chief suspects. As the presence of bandits, kobolds, and goblins increased, a local militia led by Waldgraf of Ostverk was raised to defend Hommlet. This only served to check the evil forces, however.",2003-09-16 00:00:00.000,7,NULL,NULL,NULL,72.1498,25
139310,905,Tiger Woods PGA Tour 2004,NULL,2003-09-22 00:00:00.000,1,NULL,66.5000,5,63.0000,4
50806,145555,Tir-nan-óg IV,NULL,2003-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86003,148506,Tokyo Cop,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185430,24184,Tokyo Xtreme Racer 3,"2 years earlier...

A machine known as the fastest, left in defeat.

The name of that machine has not been forgotten.

Along with him, went as many as 13 Ogre Military Officers, plunging Tokyo back into chaos.

Osaka, Nagoya...

Answering to the weakened Shutokou, new powers were being born in various areas.

2 years after the events of Shutokou Battle 0 (and sometime after the events of Tokyo Xtreme Racer: Drift 2), the news of the 13 Devils' defeat has been communicated through all of Japan. Tokyo is plunged into chaos and now two more cities want to compete: Osaka and Nagoya. The racers here will have to beat every team in these 3 cities, and maybe, have the opportunity to challenge the best drivers in each: Speed King & Dejected Angel in Tokyo, Seeks, Genesis R & D3 in Nagoya and No Loser & Darts in Osaka.",2003-07-24 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
173716,175928,Tom Clancy's Ghost Recon: Jungle Storm,NULL,2003-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173701,9891,Tom Clancy's Rainbow Six 3,"""When a terrorist plot threatens to tilt the balance of peace between the United States and Saudi Arabia, team Rainbow is the only answer. Execute your missions with deadly force and precise tactics in order to protect the innocent and ensure peace.""",2003-11-07 00:00:00.000,2,NULL,72.5000,6,62.8403,9
190793,218832,Tomb Raider,NULL,2003-10-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150343,165176,Tomb Raider: The Osiris Codex,"Lara receives an anonymous commission to retrieve a mysterious relic, the Osiris Codex, from a recently uncovered tomb. The stolen manuscript is the earliest record of ancient Egyptian metallurgy, and Osiris (The Egyptian god of resurrection and eternal life) has always been inexorably linked with alchemy.",2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137865,4202,Tonka: Rescue Patrol,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,1
175113,210430,Tony Hawk's Underground,NULL,2003-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182697,2698,Tony Hawk's Underground,NULL,2003-10-27 00:00:00.000,32,NULL,80.0000,3,79.3997,112
